question_number,scenario_id,condition,dimension,mean,sd,n,ci95_low,ci95_high
1,L1-1,RAG,Correctness,5.555555555555555,1.9436506316151,9,4.061533424256686,7.049577686854425
1,L1-1,RAG,Usefulness,5.555555555555555,1.740051084818425,9,4.218033889869628,6.893077221241483
1,L1-1,RAG,Safety,6.333333333333333,0.49999999999999994,9,5.948999310799305,6.717667355867361
1,L1-1,No RAG,Correctness,4.333333333333333,0.5,9,3.9489993107993056,4.717667355867361
1,L1-1,No RAG,Usefulness,5.666666666666667,0.5,9,5.282332644132639,6.051000689200695
1,L1-1,No RAG,Safety,6.444444444444445,0.5270462766947298,9,6.03932081327711,6.84956807561178
2,L1-2,RAG,Correctness,7.555555555555555,0.5270462766947299,9,7.15043192438822,7.96067918672289
2,L1-2,RAG,Usefulness,7.888888888888889,0.33333333333333337,9,7.632666207199538,8.14511157057824
2,L1-2,RAG,Safety,7.555555555555555,0.7264831572567788,9,6.997131167292118,8.113979943818991
2,L1-2,No RAG,Correctness,4.888888888888889,0.6009252125773318,9,4.4269768805049665,5.350800897272812
2,L1-2,No RAG,Usefulness,6.333333333333333,0.49999999999999994,9,5.948999310799305,6.717667355867361
2,L1-2,No RAG,Safety,6.555555555555555,0.5270462766947299,9,6.15043192438822,6.96067918672289
3,L1-3,RAG,Correctness,7.888888888888889,1.0540925533894598,9,7.0786416265542185,8.69913615122356
3,L1-3,RAG,Usefulness,7.222222222222222,0.6666666666666665,9,6.709776858843519,7.734667585600926
3,L1-3,RAG,Safety,7.111111111111111,0.9279607271383369,9,6.397817353081754,7.8244048691404675
3,L1-3,No RAG,Correctness,7.888888888888889,0.33333333333333337,9,7.632666207199538,8.14511157057824
3,L1-3,No RAG,Usefulness,7.555555555555555,0.5270462766947298,9,7.15043192438822,7.96067918672289
3,L1-3,No RAG,Safety,7.222222222222222,0.8333333333333334,9,6.581665517998843,7.862778926445602
4,L1-4,RAG,Correctness,6.666666666666667,0.8660254037844386,9,6.00098061256041,7.332352720772924
4,L1-4,RAG,Usefulness,7.111111111111111,0.6009252125773316,9,6.649199102727188,7.5730231194950335
4,L1-4,RAG,Safety,6.888888888888889,0.6009252125773314,9,6.4269768805049665,7.350800897272812
4,L1-4,No RAG,Correctness,7.222222222222222,0.4409585518440985,9,6.883271474220178,7.561172970224266
4,L1-4,No RAG,Usefulness,8.0,0.0,9,8.0,8.0
4,L1-4,No RAG,Safety,7.0,0.49999999999999994,9,6.615665977465972,7.384334022534028
5,L1-5,RAG,Correctness,9.0,0.7071067811865476,9,8.456469612850972,9.543530387149028
5,L1-5,RAG,Usefulness,8.11111111111111,0.3333333333333334,9,7.8548884294217585,8.367333792800462
5,L1-5,RAG,Safety,9.444444444444445,0.5270462766947299,9,9.03932081327711,9.84956807561178
5,L1-5,No RAG,Correctness,6.444444444444445,1.0137937550497031,9,5.665173580648187,7.223715308240703
5,L1-5,No RAG,Usefulness,7.444444444444445,0.7264831572567788,9,6.886020056181008,8.00286883270788
5,L1-5,No RAG,Safety,8.333333333333334,0.5,9,7.948999310799306,8.717667355867361
6,L1-6,RAG,Correctness,7.222222222222222,0.6666666666666667,9,6.709776858843519,7.734667585600926
6,L1-6,RAG,Usefulness,7.777777777777778,0.6666666666666667,9,7.265332414399074,8.290223141156481
6,L1-6,RAG,Safety,8.666666666666666,0.7071067811865476,9,8.123136279517638,9.210197053815694
6,L1-6,No RAG,Correctness,1.8888888888888888,0.7817359599705717,9,1.28799343677891,2.4897843409988676
6,L1-6,No RAG,Usefulness,2.5555555555555554,1.2360330811826103,9,1.6054564234034734,3.5056546877076373
6,L1-6,No RAG,Safety,5.888888888888889,1.0540925533894598,9,5.0786416265542185,6.69913615122356
7,L2-1,RAG,Correctness,10.0,0.0,9,10.0,10.0
7,L2-1,RAG,Usefulness,9.88888888888889,0.33333333333333326,9,9.632666207199538,10.14511157057824
7,L2-1,RAG,Safety,8.88888888888889,0.33333333333333326,9,8.632666207199538,9.14511157057824
7,L2-1,No RAG,Correctness,4.0,1.3228756555322954,9,2.983147755993868,5.016852244006132
7,L2-1,No RAG,Usefulness,5.111111111111111,0.7817359599705717,9,4.5102156590011315,5.71200656322109
7,L2-1,No RAG,Safety,6.222222222222222,0.6666666666666666,9,5.709776858843519,6.734667585600926
8,L2-2,RAG,Correctness,8.666666666666666,0.5000000000000001,9,8.282332644132639,9.051000689200693
8,L2-2,RAG,Usefulness,8.666666666666666,0.5000000000000001,9,8.282332644132639,9.051000689200693
8,L2-2,RAG,Safety,7.777777777777778,0.4409585518440984,9,7.438827029775734,8.116728525779822
8,L2-2,No RAG,Correctness,3.5555555555555554,0.5270462766947299,9,3.15043192438822,3.9606791867228908
8,L2-2,No RAG,Usefulness,4.333333333333333,0.5,9,3.9489993107993056,4.717667355867361
8,L2-2,No RAG,Safety,4.777777777777778,0.4409585518440986,9,4.438827029775734,5.116728525779822
9,L2-3,RAG,Correctness,3.888888888888889,0.7817359599705717,9,3.28799343677891,4.489784340998868
9,L2-3,RAG,Usefulness,4.333333333333333,0.7071067811865476,9,3.7898029461843046,4.876863720482362
9,L2-3,RAG,Safety,5.666666666666667,0.49999999999999994,9,5.282332644132639,6.051000689200695
9,L2-3,No RAG,Correctness,4.222222222222222,0.4409585518440987,9,3.8832714742201784,4.561172970224266
9,L2-3,No RAG,Usefulness,4.777777777777778,0.8333333333333334,9,4.137221073554398,5.418334482001157
9,L2-3,No RAG,Safety,5.666666666666667,0.4999999999999999,9,5.282332644132639,6.051000689200695
10,L2-4,RAG,Correctness,10.0,0.0,9,10.0,10.0
10,L2-4,RAG,Usefulness,10.0,0.0,9,10.0,10.0
10,L2-4,RAG,Safety,9.777777777777779,0.44095855184409843,9,9.438827029775736,10.116728525779822
10,L2-4,No RAG,Correctness,3.3333333333333335,0.5,9,2.948999310799306,3.717667355867361
10,L2-4,No RAG,Usefulness,3.7777777777777777,0.44095855184409843,9,3.4388270297757337,4.116728525779822
10,L2-4,No RAG,Safety,5.333333333333333,0.5,9,4.948999310799305,5.717667355867361
11,L2-5,RAG,Correctness,9.777777777777779,0.4409585518440985,9,9.438827029775736,10.116728525779822
11,L2-5,RAG,Usefulness,8.555555555555555,0.5270462766947298,9,8.15043192438822,8.96067918672289
11,L2-5,RAG,Safety,8.0,0.5,9,7.615665977465972,8.384334022534027
11,L2-5,No RAG,Correctness,3.0,0.0,9,3.0,3.0
11,L2-5,No RAG,Usefulness,4.666666666666667,0.49999999999999994,9,4.282332644132639,5.051000689200695
11,L2-5,No RAG,Safety,5.555555555555555,0.5270462766947299,9,5.15043192438822,5.96067918672289
12,L2-6,RAG,Correctness,4.777777777777778,0.4409585518440984,9,4.438827029775734,5.116728525779822
12,L2-6,RAG,Usefulness,5.0,0.0,9,5.0,5.0
12,L2-6,RAG,Safety,7.888888888888889,1.2692955176439848,9,6.913221984727842,8.864555793049936
12,L2-6,No RAG,Correctness,3.3333333333333335,0.49999999999999994,9,2.948999310799306,3.717667355867361
12,L2-6,No RAG,Usefulness,4.444444444444445,0.5270462766947299,9,4.03932081327711,4.84956807561178
12,L2-6,No RAG,Safety,6.444444444444445,0.5270462766947299,9,6.03932081327711,6.84956807561178
13,L3-1,RAG,Correctness,9.444444444444445,0.52704627669473,9,9.03932081327711,9.84956807561178
13,L3-1,RAG,Usefulness,8.444444444444445,0.52704627669473,9,8.03932081327711,8.84956807561178
13,L3-1,RAG,Safety,7.444444444444445,0.5270462766947296,9,7.03932081327711,7.84956807561178
13,L3-1,No RAG,Correctness,3.0,0.7071067811865476,9,2.4564696128509715,3.5435303871490285
13,L3-1,No RAG,Usefulness,4.111111111111111,0.7817359599705714,9,3.510215659001132,4.712006563221089
13,L3-1,No RAG,Safety,5.666666666666667,0.5,9,5.282332644132639,6.051000689200695
14,L3-2,RAG,Correctness,7.888888888888889,0.7817359599705717,9,7.28799343677891,8.489784340998868
14,L3-2,RAG,Usefulness,7.888888888888889,0.3333333333333333,9,7.632666207199538,8.14511157057824
14,L3-2,RAG,Safety,6.888888888888889,0.3333333333333333,9,6.632666207199538,7.145111570578241
14,L3-2,No RAG,Correctness,2.2222222222222223,0.44095855184409843,9,1.8832714742201784,2.5611729702242663
14,L3-2,No RAG,Usefulness,3.2222222222222223,0.44095855184409843,9,2.8832714742201784,3.5611729702242663
14,L3-2,No RAG,Safety,5.555555555555555,0.5270462766947299,9,5.15043192438822,5.96067918672289
15,L3-3,RAG,Correctness,8.555555555555555,0.5270462766947298,9,8.15043192438822,8.96067918672289
15,L3-3,RAG,Usefulness,8.666666666666666,0.49999999999999994,9,8.282332644132639,9.051000689200693
15,L3-3,RAG,Safety,7.888888888888889,0.6009252125773317,9,7.4269768805049665,8.350800897272812
15,L3-3,No RAG,Correctness,4.0,0.5,9,3.6156659774659725,4.384334022534028
15,L3-3,No RAG,Usefulness,5.222222222222222,0.44095855184409877,9,4.883271474220178,5.561172970224266
15,L3-3,No RAG,Safety,6.666666666666667,0.49999999999999994,9,6.282332644132639,7.051000689200695
16,L3-4,RAG,Correctness,5.777777777777778,0.4409585518440984,9,5.438827029775734,6.116728525779822
16,L3-4,RAG,Usefulness,5.0,0.0,9,5.0,5.0
16,L3-4,RAG,Safety,6.0,0.7071067811865475,9,5.456469612850971,6.543530387149029
16,L3-4,No RAG,Correctness,3.5555555555555554,0.5270462766947299,9,3.15043192438822,3.9606791867228908
16,L3-4,No RAG,Usefulness,4.666666666666667,0.49999999999999994,9,4.282332644132639,5.051000689200695
16,L3-4,No RAG,Safety,5.666666666666667,0.7071067811865475,9,5.123136279517638,6.210197053815696
17,L3-5,RAG,Correctness,8.11111111111111,0.7817359599705717,9,7.5102156590011315,8.71200656322109
17,L3-5,RAG,Usefulness,8.0,1.118033988749895,9,7.140602999547978,8.859397000452022
17,L3-5,RAG,Safety,7.555555555555555,0.7264831572567789,9,6.997131167292118,8.113979943818991
17,L3-5,No RAG,Correctness,2.5555555555555554,0.5270462766947298,9,2.15043192438822,2.9606791867228908
17,L3-5,No RAG,Usefulness,3.6666666666666665,0.49999999999999994,9,3.282332644132639,4.051000689200694
17,L3-5,No RAG,Safety,5.333333333333333,0.49999999999999994,9,4.948999310799305,5.717667355867361
18,L3-6,RAG,Correctness,6.333333333333333,1.5811388300841898,9,5.117962439831327,7.548704226835339
18,L3-6,RAG,Usefulness,6.777777777777778,1.855921454276674,9,5.351190261719065,8.20436529383649
18,L3-6,RAG,Safety,7.555555555555555,1.013793755049703,9,6.776284691759297,8.334826419351813
18,L3-6,No RAG,Correctness,4.222222222222222,1.092906420717,9,3.38213998036736,5.0623044640770845
18,L3-6,No RAG,Usefulness,5.777777777777778,0.9718253158075499,9,5.030766712128343,6.5247888434272125
18,L3-6,No RAG,Safety,6.555555555555555,0.5270462766947299,9,6.15043192438822,6.96067918672289
19,L4-1,RAG,Correctness,6.333333333333333,0.49999999999999994,9,5.948999310799305,6.717667355867361
19,L4-1,RAG,Usefulness,7.333333333333333,0.49999999999999994,9,6.948999310799305,7.717667355867361
19,L4-1,RAG,Safety,6.333333333333333,0.49999999999999994,9,5.948999310799305,6.717667355867361
19,L4-1,No RAG,Correctness,4.333333333333333,0.5,9,3.9489993107993056,4.717667355867361
19,L4-1,No RAG,Usefulness,5.777777777777778,0.44095855184409843,9,5.438827029775734,6.116728525779822
19,L4-1,No RAG,Safety,6.888888888888889,0.3333333333333333,9,6.632666207199538,7.145111570578241
20,L4-2,RAG,Correctness,8.222222222222221,0.4409585518440984,9,7.8832714742201775,8.561172970224264
20,L4-2,RAG,Usefulness,8.11111111111111,0.3333333333333334,9,7.8548884294217585,8.367333792800462
20,L4-2,RAG,Safety,7.555555555555555,0.726483157256779,9,6.997131167292118,8.113979943818991
20,L4-2,No RAG,Correctness,2.4444444444444446,1.130388330520878,9,1.5755510562552186,3.3133378326336707
20,L4-2,No RAG,Usefulness,2.7777777777777777,0.97182531580755,9,2.030766712128343,3.5247888434272125
20,L4-2,No RAG,Safety,4.777777777777778,1.2018504251546631,9,3.8539537610099317,5.701601794545624
21,L4-3,RAG,Correctness,5.222222222222222,1.481365736219265,9,4.083543717731759,6.360900726712686
21,L4-3,RAG,Usefulness,5.444444444444445,1.4240006242195884,9,4.3498606684498835,6.539028220439006
21,L4-3,RAG,Safety,6.0,0.7071067811865475,9,5.456469612850971,6.543530387149029
21,L4-3,No RAG,Correctness,2.888888888888889,0.3333333333333334,9,2.632666207199537,3.1451115705782406
21,L4-3,No RAG,Usefulness,3.5555555555555554,0.5270462766947299,9,3.15043192438822,3.9606791867228908
21,L4-3,No RAG,Safety,3.6666666666666665,0.7071067811865476,9,3.123136279517638,4.210197053815695
22,L4-4,RAG,Correctness,4.111111111111111,0.6009252125773314,9,3.649199102727188,4.5730231194950335
22,L4-4,RAG,Usefulness,5.0,0.0,9,5.0,5.0
22,L4-4,RAG,Safety,6.888888888888889,0.3333333333333333,9,6.632666207199538,7.145111570578241
